Date,Calgary,Central,Edmonton,Northeast,Northwest,South
5/7/2019 4:00:00 AM,942.670785,1203.739884,1239.431388,983.1379878,869.772788,815.7427239
5/7/2019 5:00:00 AM,1073.530728,1227.897822,1349.531839,976.4708703,862.6965176,844.7492939
5/7/2019 10:00:00 PM,983.649135,1204.701532,1327.062625,971.3150722,877.5834851,833.9707854
5/7/2019 11:00:00 PM,914.7989663,1188.714836,1250.867142,965.5096327,867.200127,806.6209506
5/8/2019 12:00:00 AM,872.2049815,1173.439857,1217.560883,958.2204034,851.0376488,793.1693008
5/8/2019 1:00:00 AM,851.9231607,1165.528728,1200.145748,963.2161197,839.3053215,788.0037579
5/8/2019 2:00:00 AM,852.4317587,1166.680948,1189.082304,958.8693067,838.7685613,786.3563044
5/8/2019 3:00:00 AM,875.700138,1184.526261,1217.691472,964.1449405,858.4127266,795.9162161
5/8/2019 4:00:00 AM,951.5120502,1207.136024,1280.058332,956.4309666,866.2165303,814.7435535
5/8/2019 5:00:00 AM,1083.294064,1236.701206,1363.750782,944.3372021,847.1505671,842.557086
5/8/2019 10:00:00 PM,991.5140451,1201.831447,1357.631776,915.583884,858.6018078,819.69567
5/8/2019 11:00:00 PM,920.7653881,1177.337831,1286.390323,909.675411,860.7500738,794.8880783
5/9/2019 12:00:00 AM,877.9723411,1159.172585,1236.49641,919.4652934,843.8565754,784.9503844
5/9/2019 1:00:00 AM,861.8454592,1175.353202,1232.93157,907.4343328,832.8774712,785.1180169
5/9/2019 2:00:00 AM,862.6173181,1192.754104,1223.246709,909.1398913,847.9354471,787.4184441
5/9/2019 3:00:00 AM,882.4667298,1212.449518,1238.503306,914.817851,852.8105583,800.9125329
5/9/2019 4:00:00 AM,954.6194101,1213.681762,1282.017998,910.7352548,850.9394251,819.3082492
5/9/2019 5:00:00 AM,1083.331145,1224.160692,1357.880349,910.4349445,860.3207864,847.6495915
5/9/2019 10:00:00 PM,973.6678533,1204.903176,1320.473747,898.8298483,895.2688192,828.6485564
5/9/2019 11:00:00 PM,900.703307,1171.338593,1212.797546,870.8809117,881.3443612,803.0030029
5/10/2019 12:00:00 AM,860.07007,1159.248586,1169.889945,910.8557388,860.4402674,791.9753134
5/10/2019 1:00:00 AM,838.1347238,1131.379296,1156.360353,924.7412989,835.5707,789.281241
5/10/2019 2:00:00 AM,834.5502749,1143.072144,1147.046868,886.6413251,835.1067021,788.1412677
5/10/2019 3:00:00 AM,848.3074718,1163.045249,1161.878594,894.5083707,829.4371861,794.7441516
